"","Area","Region","YearPeriod","PrimaryColonizer","AVG_PercentStunted","AVG_PercentOverweight"
"1","Albania","Europe","Y2000",NA,"29.5","17.7"
"2","Albania","Europe","Y2001",NA,"29.6","18.8"
"3","Albania","Europe","Y2002",NA,"29.5","19.9"
"4","Albania","Europe","Y2003",NA,"29.2","21.1"
"5","Albania","Europe","Y2004",NA,"28.5","22.2"
"6","Albania","Europe","Y2005",NA,"27.6","23.2"
"7","Albania","Europe","Y2006",NA,"26.3","24"
"8","Albania","Europe","Y2007",NA,"24.7","24.5"
"9","Albania","Europe","Y2008",NA,"22.9","24.7"
"10","Albania","Europe","Y2009",NA,"21.1","24.6"
"11","Albania","Europe","Y2010",NA,"19.3","24.2"
"12","Albania","Europe","Y2011",NA,"17.8","23.4"
"13","Albania","Europe","Y2012",NA,"16.4","22.4"
"14","Albania","Europe","Y2013",NA,"15.2","21.2"
"15","Albania","Europe","Y2014",NA,"14.3","19.9"
"16","Albania","Europe","Y2015",NA,"13.5","18.5"
"17","Albania","Europe","Y2016",NA,"12.7","17.1"
"18","Albania","Europe","Y2017",NA,"11.9","16"
"19","Albania","Europe","Y2018",NA,"11.1","15"
"20","Albania","Europe","Y2019",NA,"10.3","14.3"
"21","Albania","Europe","Y2020",NA,"9.5","13.9"
"22","Albania","Europe","Y2021",NA,"8.8","13.6"
"23","Albania","Europe","Y2022",NA,"8.3","13.4"
"24","Algeria","Africa","Y2000","France","22.3","12.8"
"25","Algeria","Africa","Y2001","France","21.5","13.5"
"26","Algeria","Africa","Y2002","France","20.7","14.1"
"27","Algeria","Africa","Y2003","France","19.8","14.7"
"28","Algeria","Africa","Y2004","France","18.9","15.1"
"29","Algeria","Africa","Y2005","France","18.1","15.4"
"30","Algeria","Africa","Y2006","France","17.2","15.6"
"31","Algeria","Africa","Y2007","France","16.3","15.6"
"32","Algeria","Africa","Y2008","France","15.4","15.4"
"33","Algeria","Africa","Y2009","France","14.4","15.1"
"34","Algeria","Africa","Y2010","France","13.6","14.6"
"35","Algeria","Africa","Y2011","France","12.8","14.1"
"36","Algeria","Africa","Y2012","France","12.1","13.5"
"37","Algeria","Africa","Y2013","France","11.6","13"
"38","Algeria","Africa","Y2014","France","11.1","12.5"
"39","Algeria","Africa","Y2015","France","10.7","12.2"
"40","Algeria","Africa","Y2016","France","10.4","12"
"41","Algeria","Africa","Y2017","France","10","11.8"
"42","Algeria","Africa","Y2018","France","9.7","11.7"
"43","Algeria","Africa","Y2019","France","9.4","11.7"
"44","Algeria","Africa","Y2020","France","9.1","11.7"
"45","Algeria","Africa","Y2021","France","8.8","11.7"
"46","Algeria","Africa","Y2022","France","8.6","11.9"
"47","Angola","Africa","Y2000","Portugal","46.5","2.7"
"48","Angola","Africa","Y2001","Portugal","43.5","2.9"
"49","Angola","Africa","Y2002","Portugal","40.6","3.1"
"50","Angola","Africa","Y2003","Portugal","38","3.2"
"51","Angola","Africa","Y2004","Portugal","35.7","3.2"
"52","Angola","Africa","Y2005","Portugal","33.9","3.2"
"53","Angola","Africa","Y2006","Portugal","32.5","3.2"
"54","Angola","Africa","Y2007","Portugal","31.6","3.1"
"55","Angola","Africa","Y2008","Portugal","30.9","3"
"56","Angola","Africa","Y2009","Portugal","30.7","3"
"57","Angola","Africa","Y2010","Portugal","30.8","3"
"58","Angola","Africa","Y2011","Portugal","31.1","3"
"59","Angola","Africa","Y2012","Portugal","31.8","3"
"60","Angola","Africa","Y2013","Portugal","32.8","3"
"61","Angola","Africa","Y2014","Portugal","34.1","3.1"
"62","Angola","Africa","Y2015","Portugal","35.6","3.2"
"63","Angola","Africa","Y2016","Portugal","37.2","3.3"
"64","Angola","Africa","Y2017","Portugal","38.7","3.4"
"65","Angola","Africa","Y2018","Portugal","40.2","3.5"
"66","Angola","Africa","Y2019","Portugal","41.4","3.6"
"67","Angola","Africa","Y2020","Portugal","42.4","3.7"
"68","Angola","Africa","Y2021","Portugal","43.1","3.8"
"69","Angola","Africa","Y2022","Portugal","43.6","3.9"
"70","Belarus","Europe","Y2000",NA,"4.7","8.8"
"71","Belarus","Europe","Y2001",NA,"4.5","9.1"
"72","Belarus","Europe","Y2002",NA,"4.5","9.4"
"73","Belarus","Europe","Y2003",NA,"4.4","9.7"
"74","Belarus","Europe","Y2004",NA,"4.5","9.7"
"75","Belarus","Europe","Y2005",NA,"4.5","9.7"
"76","Belarus","Europe","Y2006",NA,"4.4","9.7"
"77","Belarus","Europe","Y2007",NA,"4.4","9.6"
"78","Belarus","Europe","Y2008",NA,"4.4","9.4"
"79","Belarus","Europe","Y2009",NA,"4.1","9.2"
"80","Belarus","Europe","Y2010",NA,"4","8.9"
"81","Belarus","Europe","Y2011",NA,"3.9","8.5"
"82","Belarus","Europe","Y2012",NA,"3.9","8"
"83","Belarus","Europe","Y2013",NA,"3.8","7.6"
"84","Belarus","Europe","Y2014",NA,"3.8","7.1"
"85","Belarus","Europe","Y2015",NA,"3.8","6.7"
"86","Belarus","Europe","Y2016",NA,"3.7","6.3"
"87","Belarus","Europe","Y2017",NA,"3.7","5.9"
"88","Belarus","Europe","Y2018",NA,"3.7","5.6"
"89","Belarus","Europe","Y2019",NA,"3.7","5.4"
"90","Belarus","Europe","Y2020",NA,"3.6","5.3"
"91","Belarus","Europe","Y2021",NA,"3.6","5.2"
"92","Belarus","Europe","Y2022",NA,"3.6","5.3"
"93","Belgium","Europe","Y2000",NA,"4","3.3"
"94","Belgium","Europe","Y2001",NA,"4","3.3"
"95","Belgium","Europe","Y2002",NA,"4","3.2"
"96","Belgium","Europe","Y2003",NA,"3.9","3.2"
"97","Belgium","Europe","Y2004",NA,"3.8","3.3"
"98","Belgium","Europe","Y2005",NA,"3.7","3.3"
"99","Belgium","Europe","Y2006",NA,"3.6","3.3"
"100","Belgium","Europe","Y2007",NA,"3.5","3.4"
"101","Belgium","Europe","Y2008",NA,"3.4","3.4"
"102","Belgium","Europe","Y2009",NA,"3.2","3.5"
"103","Belgium","Europe","Y2010",NA,"3.1","3.5"
"104","Belgium","Europe","Y2011",NA,"2.9","3.6"
"105","Belgium","Europe","Y2012",NA,"2.8","3.6"
"106","Belgium","Europe","Y2013",NA,"2.7","3.7"
"107","Belgium","Europe","Y2014",NA,"2.7","3.7"
"108","Belgium","Europe","Y2015",NA,"2.6","3.8"
"109","Belgium","Europe","Y2016",NA,"2.6","3.8"
"110","Belgium","Europe","Y2017",NA,"2.6","3.8"
"111","Belgium","Europe","Y2018",NA,"2.5","3.9"
"112","Belgium","Europe","Y2019",NA,"2.5","3.9"
"113","Belgium","Europe","Y2020",NA,"2.5","3.9"
"114","Belgium","Europe","Y2021",NA,"2.4","4"
"115","Belgium","Europe","Y2022",NA,"2.4","4"
"116","Benin","Africa","Y2000","France","34.9","2.7"
"117","Benin","Africa","Y2001","France","35","3"
"118","Benin","Africa","Y2002","France","35.2","3.3"
"119","Benin","Africa","Y2003","France","35.4","3.4"
"120","Benin","Africa","Y2004","France","35.7","3.2"
"121","Benin","Africa","Y2005","France","36.1","2.8"
"122","Benin","Africa","Y2006","France","36.4","2.4"
"123","Benin","Africa","Y2007","France","36.4","2.1"
"124","Benin","Africa","Y2008","France","36.2","1.8"
"125","Benin","Africa","Y2009","France","35.8","1.7"
"126","Benin","Africa","Y2010","France","35.2","1.6"
"127","Benin","Africa","Y2011","France","34.5","1.6"
"128","Benin","Africa","Y2012","France","33.9","1.6"
"129","Benin","Africa","Y2013","France","33.5","1.6"
"130","Benin","Africa","Y2014","France","33.1","1.7"
"131","Benin","Africa","Y2015","France","32.9","1.7"
"132","Benin","Africa","Y2016","France","32.7","1.8"
"133","Benin","Africa","Y2017","France","32.5","1.8"
"134","Benin","Africa","Y2018","France","32.3","1.8"
"135","Benin","Africa","Y2019","France","31.9","1.9"
"136","Benin","Africa","Y2020","France","31.4","2"
"137","Benin","Africa","Y2021","France","30.9","2.1"
"138","Benin","Africa","Y2022","France","30.4","2.2"
"139","Bosnia and Herzegovina","Europe","Y2000",NA,"12.4","17.3"
"140","Bosnia and Herzegovina","Europe","Y2001",NA,"11.8","18.7"
"141","Bosnia and Herzegovina","Europe","Y2002",NA,"11.6","19.8"
"142","Bosnia and Herzegovina","Europe","Y2003",NA,"11.4","20.8"
"143","Bosnia and Herzegovina","Europe","Y2004",NA,"11.3","21.5"
