"","Area","Region","PrimaryColonizer","YearPeriod","AVG_Percent"
"1","Albania","Europe",NA,"Y20002002","122"
"2","Albania","Europe",NA,"Y20012003","121"
"3","Albania","Europe",NA,"Y20022004","120"
"4","Albania","Europe",NA,"Y20032005","120"
"5","Albania","Europe",NA,"Y20042006","120"
"6","Albania","Europe",NA,"Y20052007","121"
"7","Albania","Europe",NA,"Y20062008","122"
"8","Albania","Europe",NA,"Y20072009","125"
"9","Albania","Europe",NA,"Y20082010","128"
"10","Albania","Europe",NA,"Y20092011","130"
"11","Albania","Europe",NA,"Y20102012","132"
"12","Albania","Europe",NA,"Y20112013","133"
"13","Albania","Europe",NA,"Y20122014","134"
"14","Albania","Europe",NA,"Y20132015","134"
"15","Albania","Europe",NA,"Y20142016","134"
"16","Albania","Europe",NA,"Y20152017","135"
"17","Albania","Europe",NA,"Y20162018","135"
"18","Albania","Europe",NA,"Y20172019","136"
"19","Albania","Europe",NA,"Y20182020","135"
"20","Albania","Europe",NA,"Y20192021","135"
"21","Albania","Europe",NA,"Y20202022","135"
"22","Algeria","Africa","France","Y20002002","127"
"23","Algeria","Africa","France","Y20012003","129"
"24","Algeria","Africa","France","Y20022004","130"
"25","Algeria","Africa","France","Y20032005","130"
"26","Algeria","Africa","France","Y20042006","131"
"27","Algeria","Africa","France","Y20052007","132"
"28","Algeria","Africa","France","Y20062008","133"
"29","Algeria","Africa","France","Y20072009","135"
"30","Algeria","Africa","France","Y20082010","136"
"31","Algeria","Africa","France","Y20092011","139"
"32","Algeria","Africa","France","Y20102012","142"
"33","Algeria","Africa","France","Y20112013","145"
"34","Algeria","Africa","France","Y20122014","147"
"35","Algeria","Africa","France","Y20132015","148"
"36","Algeria","Africa","France","Y20142016","149"
"37","Algeria","Africa","France","Y20152017","149"
"38","Algeria","Africa","France","Y20162018","149"
"39","Algeria","Africa","France","Y20172019","149"
"40","Algeria","Africa","France","Y20182020","150"
"41","Algeria","Africa","France","Y20192021","151"
"42","Algeria","Africa","France","Y20202022","152"
"43","Angola","Africa","Portugal","Y20002002","74"
"44","Angola","Africa","Portugal","Y20012003","77"
"45","Angola","Africa","Portugal","Y20022004","80"
"46","Angola","Africa","Portugal","Y20032005","82"
"47","Angola","Africa","Portugal","Y20042006","84"
"48","Angola","Africa","Portugal","Y20052007","85"
"49","Angola","Africa","Portugal","Y20062008","87"
"50","Angola","Africa","Portugal","Y20072009","90"
"51","Angola","Africa","Portugal","Y20082010","99"
"52","Angola","Africa","Portugal","Y20092011","109"
"53","Angola","Africa","Portugal","Y20102012","116"
"54","Angola","Africa","Portugal","Y20112013","118"
"55","Angola","Africa","Portugal","Y20122014","119"
"56","Angola","Africa","Portugal","Y20132015","119"
"57","Angola","Africa","Portugal","Y20142016","118"
"58","Angola","Africa","Portugal","Y20152017","116"
"59","Angola","Africa","Portugal","Y20162018","116"
"60","Angola","Africa","Portugal","Y20172019","115"
"61","Angola","Africa","Portugal","Y20182020","114"
"62","Angola","Africa","Portugal","Y20192021","113"
"63","Angola","Africa","Portugal","Y20202022","114"
"64","Austria","Europe",NA,"Y20002002","146"
"65","Austria","Europe",NA,"Y20012003","144"
"66","Austria","Europe",NA,"Y20022004","143"
"67","Austria","Europe",NA,"Y20032005","142"
"68","Austria","Europe",NA,"Y20042006","144"
"69","Austria","Europe",NA,"Y20052007","145"
"70","Austria","Europe",NA,"Y20062008","146"
"71","Austria","Europe",NA,"Y20072009","147"
"72","Austria","Europe",NA,"Y20082010","147"
"73","Austria","Europe",NA,"Y20092011","149"
"74","Austria","Europe",NA,"Y20102012","150"
"75","Austria","Europe",NA,"Y20112013","150"
"76","Austria","Europe",NA,"Y20122014","149"
"77","Austria","Europe",NA,"Y20132015","148"
"78","Austria","Europe",NA,"Y20142016","147"
"79","Austria","Europe",NA,"Y20152017","147"
"80","Austria","Europe",NA,"Y20162018","147"
"81","Austria","Europe",NA,"Y20172019","149"
"82","Austria","Europe",NA,"Y20182020","149"
"83","Austria","Europe",NA,"Y20192021","150"
"84","Austria","Europe",NA,"Y20202022","150"
"85","Belarus","Europe",NA,"Y20002002","122"
"86","Belarus","Europe",NA,"Y20012003","120"
"87","Belarus","Europe",NA,"Y20022004","117"
"88","Belarus","Europe",NA,"Y20032005","117"
"89","Belarus","Europe",NA,"Y20042006","121"
"90","Belarus","Europe",NA,"Y20052007","125"
"91","Belarus","Europe",NA,"Y20062008","128"
"92","Belarus","Europe",NA,"Y20072009","129"
"93","Belarus","Europe",NA,"Y20082010","127"
"94","Belarus","Europe",NA,"Y20092011","126"
"95","Belarus","Europe",NA,"Y20102012","127"
"96","Belarus","Europe",NA,"Y20112013","129"
"97","Belarus","Europe",NA,"Y20122014","131"
"98","Belarus","Europe",NA,"Y20132015","131"
"99","Belarus","Europe",NA,"Y20142016","131"
"100","Belarus","Europe",NA,"Y20152017","131"
"101","Belarus","Europe",NA,"Y20162018","132"
"102","Belarus","Europe",NA,"Y20172019","133"
"103","Belarus","Europe",NA,"Y20182020","134"
"104","Belarus","Europe",NA,"Y20192021","134"
"105","Belarus","Europe",NA,"Y20202022","135"
"106","Belgium","Europe",NA,"Y20002002","147"
"107","Belgium","Europe",NA,"Y20012003","146"
"108","Belgium","Europe",NA,"Y20022004","146"
"109","Belgium","Europe",NA,"Y20032005","145"
"110","Belgium","Europe",NA,"Y20042006","145"
"111","Belgium","Europe",NA,"Y20052007","145"
"112","Belgium","Europe",NA,"Y20062008","145"
"113","Belgium","Europe",NA,"Y20072009","145"
"114","Belgium","Europe",NA,"Y20082010","145"
"115","Belgium","Europe",NA,"Y20092011","146"
"116","Belgium","Europe",NA,"Y20102012","146"
"117","Belgium","Europe",NA,"Y20112013","146"
"118","Belgium","Europe",NA,"Y20122014","147"
"119","Belgium","Europe",NA,"Y20132015","149"
"120","Belgium","Europe",NA,"Y20142016","150"
"121","Belgium","Europe",NA,"Y20152017","149"
"122","Belgium","Europe",NA,"Y20162018","149"
"123","Belgium","Europe",NA,"Y20172019","151"
"124","Belgium","Europe",NA,"Y20182020","152"
"125","Belgium","Europe",NA,"Y20192021","152"
"126","Belgium","Europe",NA,"Y20202022","152"
"127","Benin","Africa","France","Y20002002","109"
"128","Benin","Africa","France","Y20012003","111"
"129","Benin","Africa","France","Y20022004","113"
"130","Benin","Africa","France","Y20032005","114"
"131","Benin","Africa","France","Y20042006","116"
"132","Benin","Africa","France","Y20052007","118"
"133","Benin","Africa","France","Y20062008","119"
"134","Benin","Africa","France","Y20072009","121"
"135","Benin","Africa","France","Y20082010","120"
"136","Benin","Africa","France","Y20092011","120"
"137","Benin","Africa","France","Y20102012","120"
"138","Benin","Africa","France","Y20112013","120"
"139","Benin","Africa","France","Y20122014","121"
"140","Benin","Africa","France","Y20132015","121"
"141","Benin","Africa","France","Y20142016","121"
"142","Benin","Africa","France","Y20152017","121"
"143","Benin","Africa","France","Y20162018","120"
"144","Benin","Africa","France","Y20172019","121"
"145","Benin","Africa","France","Y20182020","122"
"146","Benin","Africa","France","Y20192021","124"
"147","Benin","Africa","France","Y20202022","126"
"148","Bosnia and Herzegovina","Europe",NA,"Y20002002","118"
"149","Bosnia and Herzegovina","Europe",NA,"Y20012003","119"
"150","Bosnia and Herzegovina","Europe",NA,"Y20022004","121"
