"","Area","Region","YearPeriod","PrimaryColonizer","AVG_PercentFemale","AVG_PercentMale"
"1","Albania","Europe","Y20002002",NA,"",""
"2","Albania","Europe","Y20012003",NA,"",""
"3","Albania","Europe","Y20022004",NA,"",""
"4","Albania","Europe","Y20032005",NA,"",""
"5","Albania","Europe","Y20042006",NA,"",""
"6","Albania","Europe","Y20052007",NA,"",""
"7","Albania","Europe","Y20062008",NA,"",""
"8","Albania","Europe","Y20072009",NA,"",""
"9","Albania","Europe","Y20082010",NA,"",""
"10","Albania","Europe","Y20092011",NA,"",""
"11","Albania","Europe","Y20102012",NA,"",""
"12","Albania","Europe","Y20112013",NA,"",""
"13","Albania","Europe","Y20122014",NA,"",""
"14","Albania","Europe","Y20132015",NA,"",""
"15","Albania","Europe","Y20142016",NA,"10.7","9.3"
"16","Albania","Europe","Y20152017",NA,"11.7","9.3"
"17","Albania","Europe","Y20162018",NA,"12.7","9.3"
"18","Albania","Europe","Y20172019",NA,"11","9.1"
"19","Albania","Europe","Y20182020",NA,"9.8","7.7"
"20","Albania","Europe","Y20192021",NA,"8.7","6.7"
"21","Albania","Europe","Y20202022",NA,"9.2","5.8"
"22","Algeria","Africa","Y20002002","France","",""
"23","Algeria","Africa","Y20012003","France","",""
"24","Algeria","Africa","Y20022004","France","",""
"25","Algeria","Africa","Y20032005","France","",""
"26","Algeria","Africa","Y20042006","France","",""
"27","Algeria","Africa","Y20052007","France","",""
"28","Algeria","Africa","Y20062008","France","",""
"29","Algeria","Africa","Y20072009","France","",""
"30","Algeria","Africa","Y20082010","France","",""
"31","Algeria","Africa","Y20092011","France","",""
"32","Algeria","Africa","Y20102012","France","",""
"33","Algeria","Africa","Y20112013","France","",""
"34","Algeria","Africa","Y20122014","France","",""
"35","Algeria","Africa","Y20132015","France","",""
"36","Algeria","Africa","Y20142016","France","14.1","11.9"
"37","Algeria","Africa","Y20152017","France","13.9","11.5"
"38","Algeria","Africa","Y20162018","France","12.5","10.3"
"39","Algeria","Africa","Y20172019","France","10.2","8.4"
"40","Algeria","Africa","Y20182020","France","7.2","6.7"
"41","Algeria","Africa","Y20192021","France","5.3","7.2"
"42","Algeria","Africa","Y20202022","France","4.3","6.9"
"43","Andorra","Europe","Y20002002",NA,"",""
"44","Andorra","Europe","Y20012003",NA,"",""
"45","Andorra","Europe","Y20022004",NA,"",""
"46","Andorra","Europe","Y20032005",NA,"",""
"47","Andorra","Europe","Y20042006",NA,"",""
"48","Andorra","Europe","Y20052007",NA,"",""
"49","Andorra","Europe","Y20062008",NA,"",""
"50","Andorra","Europe","Y20072009",NA,"",""
"51","Andorra","Europe","Y20082010",NA,"",""
"52","Andorra","Europe","Y20092011",NA,"",""
"53","Andorra","Europe","Y20102012",NA,"",""
"54","Andorra","Europe","Y20112013",NA,"",""
"55","Andorra","Europe","Y20122014",NA,"",""
"56","Andorra","Europe","Y20132015",NA,"",""
"57","Andorra","Europe","Y20142016",NA,"",""
"58","Andorra","Europe","Y20152017",NA,"",""
"59","Andorra","Europe","Y20162018",NA,"",""
"60","Andorra","Europe","Y20172019",NA,"",""
"61","Andorra","Europe","Y20182020",NA,"",""
"62","Andorra","Europe","Y20192021",NA,"",""
"63","Andorra","Europe","Y20202022",NA,"",""
"64","Angola","Africa","Y20002002","Portugal","",""
"65","Angola","Africa","Y20012003","Portugal","",""
"66","Angola","Africa","Y20022004","Portugal","",""
"67","Angola","Africa","Y20032005","Portugal","",""
"68","Angola","Africa","Y20042006","Portugal","",""
"69","Angola","Africa","Y20052007","Portugal","",""
"70","Angola","Africa","Y20062008","Portugal","",""
"71","Angola","Africa","Y20072009","Portugal","",""
"72","Angola","Africa","Y20082010","Portugal","",""
"73","Angola","Africa","Y20092011","Portugal","",""
"74","Angola","Africa","Y20102012","Portugal","",""
"75","Angola","Africa","Y20112013","Portugal","",""
"76","Angola","Africa","Y20122014","Portugal","",""
"77","Angola","Africa","Y20132015","Portugal","",""
"78","Angola","Africa","Y20142016","Portugal","22","20.1"
"79","Angola","Africa","Y20152017","Portugal","",""
"80","Angola","Africa","Y20162018","Portugal","",""
"81","Angola","Africa","Y20172019","Portugal","25.1","23"
"82","Angola","Africa","Y20182020","Portugal","28.1","25.7"
"83","Angola","Africa","Y20192021","Portugal","31.8","29.1"
"84","Angola","Africa","Y20202022","Portugal","32.6","29.8"
"85","Austria","Europe","Y20002002",NA,"",""
"86","Austria","Europe","Y20012003",NA,"",""
"87","Austria","Europe","Y20022004",NA,"",""
"88","Austria","Europe","Y20032005",NA,"",""
"89","Austria","Europe","Y20042006",NA,"",""
"90","Austria","Europe","Y20052007",NA,"",""
"91","Austria","Europe","Y20062008",NA,"",""
"92","Austria","Europe","Y20072009",NA,"",""
